Date,Title,Genres
"Apr 11, 2024",La Chimera (2023),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 11, 2024",Coup de Chance (2023),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 11, 2024",White Bird (2023),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 11, 2024",Terrestrial Verses (2023),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 11, 2024",3391 Kilometres (2024),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 11, 2024",Sieger Sein (2024),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 11, 2024",Überleben in Brandenburg (2023),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 11, 2024",Zwischen uns der Fluss (2023),"['Horror', 'Biography', 'Drama', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'Comedy', 'Crime', 'Drama', 'Adventure', 'Biography', 'Drama', 'Drama', 'Romance', 'Family', 'Drama', 'Drama']"
"Apr 18, 2024",Civil War (2024),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 18, 2024",Abigail (2024),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 18, 2024",Evil Does Not Exist (2023),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 18, 2024",Blackbird Blackbird Blackberry (2023),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 18, 2024",Les petites victoires (2023),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 18, 2024",Tug of War (2021),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 18, 2024",For the Time Being (2023),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 18, 2024",Can Creativity Save the World? (2023),"['Action', 'Horror', 'Thriller', 'Drama', 'Drama', 'Comedy', 'Romance', 'Documentary', 'Documentary']"
"Apr 25, 2024",Winnie-the-Pooh: Blood and Honey 2 (2024),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",Challengers (2024),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",Arthur the King (2024),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",The American Society of Magical Negroes (2024),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",Spy x Family Code: White (2023),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",Eureka (2023),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",Dying (2024),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",A Silence (2023),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",Déserts (2023),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 25, 2024",Berlin Utopiekadaver (2024),"['Horror', 'Thriller', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Adventure', 'Comedy', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Drama', 'Drama', 'Drama', 'Drama', 'Documentary']"
"Apr 30, 2024",The Fall Guy (2024),"['Action', 'Comedy', 'Drama']"
"May 01, 2024",Cobweb (2023),"['Horror', 'Mystery', 'Thriller', 'Drama', 'Animation', 'Adventure', 'Family', 'Family']"
"May 01, 2024",Out of Season (2023),"['Horror', 'Mystery', 'Thriller', 'Drama', 'Animation', 'Adventure', 'Family', 'Family']"
"May 01, 2024",Giants of la Mancha (2024),"['Horror', 'Mystery', 'Thriller', 'Drama', 'Animation', 'Adventure', 'Family', 'Family']"
"May 01, 2024",Max und die wilde 7: Die Geister-Oma (2024),"['Horror', 'Mystery', 'Thriller', 'Drama', 'Animation', 'Adventure', 'Family', 'Family']"
"May 02, 2024",Digimon Adventure 02: The Beginning (2023),"['Animation', 'Action', 'Adventure', 'Drama', 'Drama', 'Drama', 'Drama']"
"May 02, 2024",Touched (2023),"['Animation', 'Action', 'Adventure', 'Drama', 'Drama', 'Drama', 'Drama']"
"May 02, 2024",Was von der Liebe bleibt (2023),"['Animation', 'Action', 'Adventure', 'Drama', 'Drama', 'Drama', 'Drama']"
"May 02, 2024",Holy Island (2021),"['Animation', 'Action', 'Adventure', 'Drama', 'Drama', 'Drama', 'Drama']"
"May 02, 2024",More Than Strangers (2023),"['Animation', 'Action', 'Adventure', 'Drama', 'Drama', 'Drama', 'Drama']"
"May 08, 2024",Kingdom of the Planet of the Apes (2024),"['Action', 'Sci-Fi']"
"May 09, 2024",Robot Dreams (2023),"['Animation', 'Drama', 'Music', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Drama', 'Romance', 'Comedy', 'Drama', 'Documentary', 'Peaches', 'Comedy']"
"May 09, 2024",The Garfield Movie (2024),"['Animation', 'Drama', 'Music', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Drama', 'Romance', 'Comedy', 'Drama', 'Documentary', 'Peaches', 'Comedy']"
"May 09, 2024",Beautiful Wedding (2024),"['Animation', 'Drama', 'Music', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Drama', 'Romance', 'Comedy', 'Drama', 'Documentary', 'Peaches', 'Comedy']"
"May 09, 2024",Mother of the Bride (2024),"['Animation', 'Drama', 'Music', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Drama', 'Romance', 'Comedy', 'Drama', 'Documentary', 'Peaches', 'Comedy']"
"May 09, 2024",It's Raining Men (2023),"['Animation', 'Drama', 'Music', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Drama', 'Romance', 'Comedy', 'Drama', 'Documentary', 'Peaches', 'Comedy']"
"May 09, 2024",Teaches of Peaches (2024),"['Animation', 'Drama', 'Music', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Drama', 'Romance', 'Comedy', 'Drama', 'Documentary', 'Peaches', 'Comedy']"
"May 09, 2024",Bad Director (2024),"['Animation', 'Drama', 'Music', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Drama', 'Romance', 'Comedy', 'Drama', 'Documentary', 'Peaches', 'Comedy']"
"May 16, 2024",IF (2024),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 16, 2024",The Promised Land (2023),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 16, 2024",Tarot (2024),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 16, 2024",About Dry Grasses (2023),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 16, 2024",What Happens Later (2023),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 16, 2024",Nightwatch: Demons Are Forever (2023),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 16, 2024",The Hummingbird (2022),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 16, 2024",The Book of Wonders (2023),"['Comedy', 'Drama', 'Family', 'Biography', 'Drama', 'History', 'Horror', 'Avantika', 'Drama', 'Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller', 'Drama', 'Drama']"
"May 23, 2024",Furiosa: A Mad Max Saga (2024),"['Action', 'Adventure', 'Sci-Fi', 'Comedy', 'Drama', 'Documentary']"
"May 23, 2024",Fathers and Mothers (2022),"['Action', 'Adventure', 'Sci-Fi', 'Comedy', 'Drama', 'Documentary']"
"May 23, 2024",Mit einem Tiger schlafen (2024),"['Action', 'Adventure', 'Sci-Fi', 'Comedy', 'Drama', 'Documentary']"
"May 23, 2024",The Empty Grave (2024),"['Action', 'Adventure', 'Sci-Fi', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",May December (2023),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",Sting (2024),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",The End We Start From (2023),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",Golda (2023),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",Eternal You (2024),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",Alle die Du bist (2024),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",The Corridors of Power (2022),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",Continental Drift (South) (2022),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"May 30, 2024",The Klemzer Project (2023),"['Comedy', 'Drama', 'Horror', 'Thriller', 'Drama', 'Thriller', 'Biography', 'Drama', 'History', 'Drama', 'Drama', 'Romance', 'Documentary', 'Comedy', 'Drama', 'Documentary']"
"Jun 06, 2024",The Watchers (2024),"['Fantasy', 'Horror', 'Mystery', 'Drama', 'Documentary']"
"Jun 06, 2024",The Beautiful Summer (2023),"['Fantasy', 'Horror', 'Mystery', 'Drama', 'Documentary']"
"Jun 06, 2024",War and Justice (2023),"['Fantasy', 'Horror', 'Mystery', 'Drama', 'Documentary']"
"Jun 13, 2024",Bad Boys: Ride or Die (2024),"['Action', 'Adventure', 'Comedy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'RZA']"
"Jun 13, 2024",Inside Out 2 (2024),"['Action', 'Adventure', 'Comedy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'RZA']"
"Jun 13, 2024",Problemista (2023),"['Action', 'Adventure', 'Comedy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'RZA']"
"Jun 20, 2024",I.S.S. (2023),"['Sci-Fi', 'Thriller']"
"Jun 27, 2024",A Quiet Place: Day One (2024),"['Drama', 'Horror', 'Sci-Fi', 'Animation']"
"Jun 27, 2024",Elli and the Ghostly Ghost Train (2024),"['Drama', 'Horror', 'Sci-Fi', 'Animation']"
"Jul 04, 2024",MaXXXine (2024),['Horror']
"Jul 08, 2024",Sara's School Life (2023),"['Drama', 'Mystery', 'Thriller']"
"Jul 11, 2024",Despicable Me 4 (2024),"['Animation', 'Adventure', 'Comedy']"
"Jul 18, 2024",The Bikeriders (2023),"['Crime', 'Drama', 'Action', 'Adventure', 'Thriller', 'Horror', 'Mystery', 'Thriller']"
"Jul 18, 2024",Twisters (2024),"['Crime', 'Drama', 'Action', 'Adventure', 'Thriller', 'Horror', 'Mystery', 'Thriller']"
"Jul 18, 2024",Cuckoo (2024),"['Crime', 'Drama', 'Action', 'Adventure', 'Thriller', 'Horror', 'Mystery', 'Thriller']"
"Jul 24, 2024",Deadpool & Wolverine (2024),"['Action', 'Comedy', 'Sci-Fi']"
"Jul 25, 2024",2:1 (2024),"['Comedy', 'Drama']"
"Jul 25, 2024",Die Ermittlung. Oratorium in elf Gesängen (2024),"['Comedy', 'Drama']"
"Jul 27, 2024",First Shift (2024),"['Crime', 'Drama']"
"Aug 01, 2024",Harold and the Purple Crayon (2024),"['Adventure', 'Comedy', 'Family', 'Comedy', 'Drama', 'Biography', 'Drama', 'Musical']"
"Aug 01, 2024",The Monk and the Gun (2023),"['Adventure', 'Comedy', 'Family', 'Comedy', 'Drama', 'Biography', 'Drama', 'Musical']"
"Aug 01, 2024",Shahid (2024),"['Adventure', 'Comedy', 'Family', 'Comedy', 'Drama', 'Biography', 'Drama', 'Musical']"
"Aug 08, 2024",Borderlands (2024),"['Action', 'Adventure', 'Comedy']"
"Aug 15, 2024",Alien: Romulus (2024),"['Horror', 'Sci-Fi']"
"Aug 22, 2024",Horizon: An American Saga - Chapter 1 (2024),"['Drama', 'Western']"
"Aug 29, 2024",Longlegs (2024),"['Horror', 'Thriller', 'Comedy']"
"Aug 29, 2024",Fifty Fifty - Eine Erziehungskomödie (2024),"['Horror', 'Thriller', 'Comedy']"
"Sep 05, 2024",Beetlejuice Beetlejuice (2024),"['Comedy', 'Fantasy', 'Horror', 'Thriller']"
"Sep 05, 2024",Something in the Water (2024),"['Comedy', 'Fantasy', 'Horror', 'Thriller']"
"Sep 12, 2024",The Wild Robot (2024),"['Animation', 'Adventure', 'Drama', 'Drama', 'History']"
"Sep 12, 2024",Führer und Verführer (2024),"['Animation', 'Adventure', 'Drama', 'Drama', 'History']"
"Sep 19, 2024",Wolfs (2024),"['Thriller', 'Drama']"
"Sep 19, 2024",September 5 (2024),"['Thriller', 'Drama']"
"Sep 26, 2024",In the Lost Lands (2024),"['Action', 'Adventure', 'Fantasy', 'Comedy', 'Drama']"
"Sep 26, 2024",Treasure (2024),"['Action', 'Adventure', 'Fantasy', 'Comedy', 'Drama']"
"Oct 03, 2024",Joker: Folie à Deux (2024),"['Crime', 'Drama', 'Musical', 'Drama']"
"Oct 03, 2024",Memory (2023),"['Crime', 'Drama', 'Musical', 'Drama']"
"Oct 10, 2024",Young Hearts (2024),"['Drama', 'Family', 'Comedy']"
"Oct 10, 2024",Der Buchspazierer (2024),"['Drama', 'Family', 'Comedy']"
"Oct 17, 2024",Smile 2 (2024),"['Horror', 'Mystery', 'Thriller', 'Biography', 'Drama', 'History', 'Drama']"
"Oct 17, 2024","From Hilde, with Love (2024)","['Horror', 'Mystery', 'Thriller', 'Biography', 'Drama', 'History', 'Drama']"
"Oct 17, 2024",The Light (2024),"['Horror', 'Mystery', 'Thriller', 'Biography', 'Drama', 'History', 'Drama']"
"Oct 31, 2024",Hagen (2024),['Drama']
"Nov 07, 2024",Horizon: An American Saga - Chapter 2 (2024),"['Drama', 'Western']"
"Nov 14, 2024",The Dead Don't Hurt (2023),"['Drama', 'Western', 'Action', 'Adventure', 'Comedy', 'Biography', 'Crime', 'Drama']"
"Nov 14, 2024",Red One (2024),"['Drama', 'Western', 'Action', 'Adventure', 'Comedy', 'Biography', 'Crime', 'Drama']"
"Nov 14, 2024",Alto Knights (2024),"['Drama', 'Western', 'Action', 'Adventure', 'Comedy', 'Biography', 'Crime', 'Drama']"
"Nov 21, 2024",Gladiator 2 (2024),"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy']"
"Nov 21, 2024",Woodwalkers (2024),"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy']"
"Nov 28, 2024",Wicked (2024),"['Fantasy', 'Musical', 'Romance']"
"Dec 10, 2024",Moana 2 (2024),"['Animation', 'Adventure', 'Comedy']"
"Dec 12, 2024",The Lord of the Rings: The War of the Rohirrim (2024),"['Animation', 'Action', 'Adventure']"
"Dec 19, 2024",Sonic the Hedgehog 3 (2024),"['Action', 'Adventure', 'Comedy']"
"Jan 02, 2025",Nosferatu (2024),"['Fantasy', 'Horror', 'Mystery']"
"Jan 23, 2025",Die drei ??? und der Karpatenhund (2025),['Adventure']
"Jan 30, 2025",Paddington in Peru (2024),"['Adventure', 'Comedy', 'Family']"
"Feb 12, 2025",Captain America: Brave New World (2025),"['Action', 'Adventure', 'Sci-Fi']"
"Mar 20, 2025",Snow White (2025),"['Adventure', 'Drama', 'Family']"
"Mar 27, 2025",The Adventures of Thomas (2025),"['Adventure', 'Family']"
